Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,2,"0:0:8,800","0:0:10,680","Bisher bei Babylon Berlin,","bisher bei babylon berlin,","['bei', 'babylon', 'bisher', 'berlin']","['Bisher', 'bei', 'Babylon', 'Berlin']","['Bisher', 'bei', 'Babylon', 'Berlin', ',']","['Bisher', 'bei', 'Babylon', 'Berlin', ',']","['ADV', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","Bisher bei Babylon Berlin ,",ADV ADP PROPN PROPN PUNCT
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,3,"0:0:12,960","0:0:14,320",Ein dickköpfiges Dienstmädchen,ein dickköpfiges dienstmädchen,"['ein', 'dienstmädchen', 'dickköpfiges']","['Ein', 'dickköpfiges', 'Dienstmädchen']","['Ein', 'dickköpfiges', 'Dienstmädchen']","['Ein', 'dickköpfig', 'Dienstmädchen']","['DET', 'ADJ', 'NOUN']",Ein dickköpfig Dienstmädchen,DET ADJ NOUN
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,4,"0:0:14,400","0:0:17,0",kann doch nicht zum Stolperstein der nationalen Bewegung werden.,kann doch nicht zum stolperstein der nationalen bewegung werden.,"['doch', 'bewegung', 'der', 'werden', 'nicht', 'nationalen', 'kann', 'stolperstein', 'zum']","['kann', 'doch', 'nicht', 'zum', 'Stolperstein', 'der', 'nationalen', 'Bewegung', 'werden']","['kann', 'doch', 'nicht', 'zum', 'Stolperstein', 'der', 'nationalen', 'Bewegung', 'werden', '.']","['können', 'doch', 'nicht', 'zum', 'Stolperstein', 'der', 'national', 'Bewegung', 'werden', '.']","['AUX', 'ADV', 'PART', 'ADP', 'NOUN', 'DET', 'ADJ', 'NOUN', 'AUX', 'PUNCT']",können doch nicht zum Stolperstein der national Bewegung werden .,AUX ADV PART ADP NOUN DET ADJ NOUN AUX PUNCT
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,5,"0:0:17,80","0:0:18,160",Sie sind am Zug.,sie sind am zug.,"['sind', 'zug', 'sie', 'am']","['Sie', 'sind', 'am', 'Zug']","['Sie', 'sind', 'am', 'Zug', '.']","['ich', 'sein', 'am', 'Zug', '.']","['PRON', 'AUX', 'ADP', 'NOUN', 'PUNCT']",ich sein am Zug .,PRON AUX ADP NOUN PUNCT
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,6,"0:0:18,240","0:0:20,240",Overbeck wird sich fügen. Verlassen Sie sich drauf.,overbeck wird sich fügen. verlassen sie sich drauf.,"['sie', 'sich', 'wird', 'fügen', 'drauf', 'overbeck', 'verlassen']","['Overbeck', 'wird', 'sich', 'fügen', 'Verlassen', 'Sie', 'sich', 'drauf']","['Overbeck', 'wird', 'sich', 'fügen', '.', 'Verlassen', 'Sie', 'sich', 'drauf', '.']","['Overbeck', 'werden', 'sich', 'fügen', '.', 'Verlassen', 'ich', 'sich', 'drauf', '.']","['NOUN', 'AUX', 'PRON', 'VERB', 'PUNCT', 'VERB', 'PRON', 'PRON', 'ADV', 'PUNCT']",Overbeck werden sich fügen . Verlassen ich sich drauf .,NOUN AUX PRON VERB PUNCT VERB PRON PRON ADV PUNCT
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,7,"0:0:20,320","0:0:21,480",Das Kind von Greta Overbeck,das kind von greta overbeck,"['greta', 'das', 'kind', 'overbeck', 'von']","['Das', 'Kind', 'von', 'Greta', 'Overbeck']","['Das', 'Kind', 'von', 'Greta', 'Overbeck']","['der', 'Kind', 'von', 'Greta', 'Overbeck']","['DET', 'NOUN', 'ADP', 'PROPN', 'PROPN']",der Kind von Greta Overbeck,DET NOUN ADP PROPN PROPN
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,8,"0:0:21,560","0:0:23,600",wird dieses Haus nicht ohne Genehmigung verlassen.,wird dieses haus nicht ohne genehmigung verlassen.,"['genehmigung', 'haus', 'dieses', 'wird', 'ohne', 'nicht', 'verlassen']","['wird', 'dieses', 'Haus', 'nicht', 'ohne', 'Genehmigung', 'verlassen']","['wird', 'dieses', 'Haus', 'nicht', 'ohne', 'Genehmigung', 'verlassen', '.']","['werden', 'dies', 'Haus', 'nicht', 'ohne', 'Genehmigung', 'verlassen', '.']","['AUX', 'DET', 'NOUN', 'PART', 'ADP', 'NOUN', 'VERB', 'PUNCT']",werden dies Haus nicht ohne Genehmigung verlassen .,AUX DET NOUN PART ADP NOUN VERB PUNCT
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,9,"0:0:23,680","0:0:26,640",Es geht um eine Anpassung der Fakten.,es geht um eine anpassung der fakten.,"['fakten', 'der', 'eine', 'anpassung', 'um', 'geht', 'es']","['Es', 'geht', 'um', 'eine', 'Anpassung', 'der', 'Fakten']","['Es', 'geht', 'um', 'eine', 'Anpassung', 'der', 'Fakten', '.']","['ich', 'gehen', 'um', 'einen', 'Anpassung', 'der', 'Faktum', '.']","['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'PUNCT']",ich gehen um einen Anpassung der Faktum .,PRON VERB ADP DET NOUN DET NOUN PUNCT
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,10,"0:0:26,720","0:0:28,840","Öffnen Sie die Augen, da ist Besuch für Sie.","öffnen sie die augen, da ist besuch für sie.","['besuch', 'für', 'sie', 'ist', 'augen', 'die', 'da', 'öffnen']","['Öffnen', 'Sie', 'die', 'Augen', 'da', 'ist', 'Besuch', 'für', 'Sie']","['Öffnen', 'Sie', 'die', 'Augen', ',', 'da', 'ist', 'Besuch', 'für', 'Sie', '.']","['Öffnen', 'ich', 'der', 'Auge', ',', 'da', 'sein', 'Besuch', 'für', 'ich', '.']","['VERB', 'PRON', 'DET', 'NOUN', 'PUNCT', 'ADV', 'AUX', 'NOUN', 'ADP', 'PRON', 'PUNCT']","Öffnen ich der Auge , da sein Besuch für ich .",VERB PRON DET NOUN PUNCT ADV AUX NOUN ADP PRON PUNCT
Babylon_Berlin__S03E04.srt,Babylon Berlin,Babylon Berlin S03,Babylon Berlin E04,11,"0:0:31,0","0:0:32,400",Nicht mein Kind.,nicht mein kind.,"['kind', 'nicht', 'mein']","['Nicht', 'mein', 'Kind']","['Nicht', 'mein', 'Kind', '.']","['Nicht', 'meinen', 'Kind', '.']","['PART', 'DET', 'NOUN', 'PUNCT']",Nicht meinen Kind .,PART DET NOUN PUNCT
