Unique_ID,Show_Name,Season,Episode,Line_Index,Start,End,Dialogue,Dialogue_lower,Dialogue_Set_Words,Dialogue_Words,Dialogue_Tokens_Text,Dialogue_Tokens_Lemmas,Dialogue_Tokens_POS_Tags,Dialogue_Lemmas_Pattern,Dialogue_POS_Tags_Pattern
Dark__S03E01.srt,Dark,Dark S03,Dark E01,2,"0:0:22,375","0:0:24,292","Wenn wir wüssten,","wenn wir wüssten,","['wenn', 'wüssten', 'wir']","['Wenn', 'wir', 'wüssten']","['Wenn', 'wir', 'wüssten', ',']","['Wenn', 'ich', 'wüssten', ',']","['SCONJ', 'PRON', 'VERB', 'PUNCT']","Wenn ich wüssten ,",SCONJ PRON VERB PUNCT
Dark__S03E01.srt,Dark,Dark S03,Dark E01,3,"0:0:24,375","0:0:26,333",wie die Dinge enden...,wie die dinge enden...,"['enden', 'dinge', 'wie', 'die']","['wie', 'die', 'Dinge', 'enden']","['wie', 'die', 'Dinge', 'enden', '...']","['wie', 'der', 'Ding', 'enden', '...']","['ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']",wie der Ding enden ...,ADP DET NOUN VERB PUNCT
Dark__S03E01.srt,Dark,Dark S03,Dark E01,4,"0:0:28,0","0:0:30,958",...wohin uns unsere Reise führt...,...wohin uns unsere reise führt...,"['wohin', 'uns', 'unsere', 'führt', 'reise']","['wohin', 'uns', 'unsere', 'Reise', 'führt']","['...', 'wohin', 'uns', 'unsere', 'Reise', 'führt', '...']","['...', 'wohin', 'sich', 'mein', 'Reise', 'führen', '...']","['PUNCT', 'SCONJ', 'PRON', 'DET', 'NOUN', 'VERB', 'PUNCT']",... wohin sich mein Reise führen ...,PUNCT SCONJ PRON DET NOUN VERB PUNCT
Dark__S03E01.srt,Dark,Dark S03,Dark E01,5,"0:0:33,125","0:0:37,458",...würden wir trotzdem die gleichen Entscheidungen treffen?,...würden wir trotzdem die gleichen entscheidungen treffen?,"['gleichen', 'entscheidungen', 'wir', 'würden', 'trotzdem', 'treffen', 'die']","['würden', 'wir', 'trotzdem', 'die', 'gleichen', 'Entscheidungen', 'treffen']","['...', 'würden', 'wir', 'trotzdem', 'die', 'gleichen', 'Entscheidungen', 'treffen', '?']","['...', 'werden', 'ich', 'trotzdem', 'der', 'gleich', 'Entscheidung', 'treffen', '?']","['PUNCT', 'AUX', 'PRON', 'ADV', 'DET', 'ADJ', 'NOUN', 'VERB', 'PUNCT']",... werden ich trotzdem der gleich Entscheidung treffen ?,PUNCT AUX PRON ADV DET ADJ NOUN VERB PUNCT
Dark__S03E01.srt,Dark,Dark S03,Dark E01,6,"0:0:39,625","0:0:42,917",Oder würden wir andere Wege einschlagen?,oder würden wir andere wege einschlagen?,"['andere', 'wir', 'würden', 'oder', 'einschlagen', 'wege']","['Oder', 'würden', 'wir', 'andere', 'Wege', 'einschlagen']","['Oder', 'würden', 'wir', 'andere', 'Wege', 'einschlagen', '?']","['Oder', 'werden', 'ich', 'ander', 'Weg', 'einschlagen', '?']","['CCONJ', 'AUX', 'PRON', 'ADJ', 'NOUN', 'VERB', 'PUNCT']",Oder werden ich ander Weg einschlagen ?,CCONJ AUX PRON ADJ NOUN VERB PUNCT
Dark__S03E01.srt,Dark,Dark S03,Dark E01,7,"0:0:46,167","0:0:50,0",Könnten wir überhaupt unserem Schicksal entkommen?,könnten wir überhaupt unserem schicksal entkommen?,"['unserem', 'schicksal', 'wir', 'überhaupt', 'entkommen', 'könnten']","['Könnten', 'wir', 'überhaupt', 'unserem', 'Schicksal', 'entkommen']","['Könnten', 'wir', 'überhaupt', 'unserem', 'Schicksal', 'entkommen', '?']","['können', 'ich', 'überhaupt', 'mein', 'Schicksal', 'entkommen', '?']","['AUX', 'PRON', 'ADV', 'DET', 'NOUN', 'VERB', 'PUNCT']",können ich überhaupt mein Schicksal entkommen ?,AUX PRON ADV DET NOUN VERB PUNCT
Dark__S03E01.srt,Dark,Dark S03,Dark E01,8,"0:0:54,208","0:0:58,0","Oder würde uns das, was tief in uns ist,","oder würde uns das, was tief in uns ist,","['was', 'tief', 'das', 'oder', 'würde', 'ist', 'uns', 'in']","['Oder', 'würde', 'uns', 'das', 'was', 'tief', 'in', 'uns', 'ist']","['Oder', 'würde', 'uns', 'das', ',', 'was', 'tief', 'in', 'uns', 'ist', ',']","['Oder', 'werden', 'sich', 'der', ',', 'was', 'tief', 'in', 'sich', 'sein', ',']","['CCONJ', 'AUX', 'PRON', 'PRON', 'PUNCT', 'PRON', 'ADV', 'ADP', 'PRON', 'AUX', 'PUNCT']","Oder werden sich der , was tief in sich sein ,",CCONJ AUX PRON PRON PUNCT PRON ADV ADP PRON AUX PUNCT
Dark__S03E01.srt,Dark,Dark S03,Dark E01,9,"0:0:58,667","0:1:0,917","zum gleichen Ende leiten,","zum gleichen ende leiten,","['gleichen', 'leiten', 'ende', 'zum']","['zum', 'gleichen', 'Ende', 'leiten']","['zum', 'gleichen', 'Ende', 'leiten', ',']","['zum', 'gleich', 'Ende', 'leiten', ',']","['ADP', 'ADJ', 'NOUN', 'VERB', 'PUNCT']","zum gleich Ende leiten ,",ADP ADJ NOUN VERB PUNCT
Dark__S03E01.srt,Dark,Dark S03,Dark E01,10,"0:1:1,0","0:1:3,83",wie eine unsichtbare Hand?,wie eine unsichtbare hand?,"['hand', 'eine', 'wie', 'unsichtbare']","['wie', 'eine', 'unsichtbare', 'Hand']","['wie', 'eine', 'unsichtbare', 'Hand', '?']","['wie', 'einen', 'unsichtbar', 'Hand', '?']","['ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",wie einen unsichtbar Hand ?,ADP DET ADJ NOUN PUNCT
Dark__S03E01.srt,Dark,Dark S03,Dark E01,11,"0:1:9,500","0:1:12,458","Spielt es eine Rolle, welchen Weg wir gehen,","spielt es eine rolle, welchen weg wir gehen,","['rolle', 'weg', 'wir', 'gehen', 'eine', 'spielt', 'welchen', 'es']","['Spielt', 'es', 'eine', 'Rolle', 'welchen', 'Weg', 'wir', 'gehen']","['Spielt', 'es', 'eine', 'Rolle', ',', 'welchen', 'Weg', 'wir', 'gehen', ',']","['Spielt', 'ich', 'einen', 'Rolle', ',', 'welch', 'Weg', 'ich', 'gehen', ',']","['VERB', 'PRON', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'PRON', 'VERB', 'PUNCT']","Spielt ich einen Rolle , welch Weg ich gehen ,",VERB PRON DET NOUN PUNCT DET NOUN PRON VERB PUNCT
